club_id,club_name,country_name
1,FC Saarbrücken,Germany
2,FC Kaiserslautern,Germany
3,FC Köln,Germany
4,FC Nuremberg,Germany
5,AC Milan,Italy
6,Adanaspor,Türkiye
8,Alemannia Aachen,Germany
10,Arminia Bielefeld,Germany
11,Arsenal FC,England
12,AS Roma,Italy
13,Atlético de Madrid,Spain
14,Austria Vienna,Austria
15,Bayer 04 Leverkusen,Germany
16,Borussia Dortmund,Germany
17,Borussia Dortmund II,Germany
18,Borussia Mönchengladbach,Germany
19,Brescia Calcio,Italy
20,Bursaspor,Türkiye
21,Chemnitzer FC,Germany
22,Derby County,England
23,Eintracht Braunschweig,Germany
24,Eintracht Frankfurt,Germany
25,FC Energie Cottbus,Germany
26,FC Basel 1893,Switzerland
27,Bayern Munich,Germany
28,FC Bayern Munich II,Germany
29,Everton FC,England
30,FC Hansa Rostock,Germany
31,Liverpool FC,England
33,FC Schalke 04,Germany
35,FC St. Pauli,Germany
36,Fenerbahce,Türkiye
38,Fortuna Düsseldorf,Germany
39,1.FSV Mainz 05,Germany
40,FC Girondins Bordeaux,France
41,Hamburger SV,Germany
42,Hannover 96,Germany
43,Heart of Midlothian FC,Scotland
44,Hertha BSC,Germany
46,Inter Milan,Italy
47,POT Iraklis Thessaloniki,Greece
48,Karlsruher SC,Germany
50,Rot Weiss Ahlen,Germany
52,MSV Duisburg,Germany
56,Rot-Weiss Essen,Germany
57,Rot-Weiß Oberhausen,Germany
58,RSC Anderlecht,Belgium
59,SC Campomaiorense,Portugal
60,SC Freiburg,Germany
61,Servette FC,Switzerland
62,SK Slavia Prague,Czech Republic
64,SV 07 Elversberg,Germany
65,SpVgg Greuther Fürth,Germany
66,SpVgg Unterhaching,Germany
69,SSV Ulm 1846,Germany
71,Stuttgarter Kickers,Germany
72,TSV 1860 Munich,Germany
76,Vålerenga Fotball Elite,Norway
78,VfB Lübeck,Germany
79,VfB Stuttgart,Germany
80,VfL Bochum,Germany
81,VfL Osnabrück,Germany
82,VfL Wolfsburg,Germany
83,VfR Aalen,Germany
84,Debreceni VSC,Hungary
85,SV Waldhof Mannheim,Germany
86,SV Werder Bremen,Germany
87,SV Werder Bremen II,Germany
88,Widzew Lodz,Poland
89,1.FC Union Berlin,Germany
90,SV Babelsberg 03,Germany
91,Preußen Münster,Germany
92,SC Fortuna Köln,Germany
93,SC Verl,Germany
94,FC Erzgebirge Aue,Germany
95,KFC Uerdingen 05,Germany
102,VfB Stuttgart II,Germany
103,1.FC Schweinfurt 05,Germany
104,SV Eintracht Trier 05,Germany
105,SV Darmstadt 98,Germany
107,Kickers Offenbach,Germany
108,SV Wehen Wiesbaden,Germany
109,SSV Jahn Regensburg,Germany
110,SV Wacker Burghausen,Germany
111,Rot-Weiß Erfurt,Germany
113,FC Carl Zeiss Jena,Germany
114,Besiktas JK,Türkiye
116,FC Aarau,Switzerland
120,Kocaelispor,Türkiye
121,Dynamo Moscow,Russia
122,SK Sturm Graz,Austria
124,Rangers FC,Scotland
126,Caykur Rizespor,Türkiye
127,SC Paderborn 07,Germany
128,AO Xanthi,Greece
129,SG Dynamo Dresden,Germany
130,Parma Calcio 1913,Italy
131,FC Barcelona,Spain
132,NAC Breda,Netherlands
133,SC Cambuur Leeuwarden,Netherlands
134,Xerez CD,Spain
135,FK Chmel Blsany,Czech Republic
139,Kickers Emden,Germany
141,Galatasaray,Türkiye
142,Real Zaragoza,Spain
144,HNK Rijeka,Croatia
148,Tottenham Hotspur,England
150,Real Betis Balompié,Spain
152,Samsunspor,Türkiye
155,FC Kärnten,Austria
157,KAA Gent,Belgium
162,AS Monaco,Monaco
163,FC Vaduz,Liechtenstein
164,Blackburn Rovers,England
166,VfB Oldenburg,Germany
167,FC Augsburg,Germany
168,Zaglebie Lubin,Poland
169,Panionios Athens,Greece
170,Rapid Vienna,Austria
171,Real Murcia CF,Spain
172,Royal Charleroi SC,Belgium
173,Odense Boldklub,Denmark
176,Amica Wronki,Poland
180,Southampton FC,England
187,1.FC Magdeburg,Germany
189,CA Boca Juniors,Argentina
190,FC Copenhagen,Denmark
192,Roda JC Kerkrade,Netherlands
195,Rosenborg BK,Norway
197,AC Sparta Prague,Czech Republic
199,Sport Club Corinthians Paulista,Brazil
200,FC Utrecht,Netherlands
202,FC Groningen,Netherlands
204,Lierse SK,Belgium
206,Bröndby IF,Denmark
209,CA River Plate,Argentina
210,Grêmio Foot-Ball Porto Alegrense,Brazil
213,Vác FC,Hungary
216,Inter Bratislava,Slovakia
218,San Jose Earthquakes,United States
221,Santos FC,Brazil
223,HNK Sibenik,Croatia
232,Spartak Moscow,Russia
234,Feyenoord Rotterdam,Netherlands
235,RKC Waalwijk,Netherlands
237,RCD Mallorca,Spain
238,Lech Poznan,Poland
239,Viking FK,Norway
242,FC Winterthur,Switzerland
244,Olympique Marseille,France
245,SC Freiburg II,Germany
247,SV Meppen,Germany
252,Genoa CFC,Italy
254,SV Sandhausen,Germany
255,Legia Warszawa,Poland
256,LKS Lodz,Poland
257,FC St. Gallen 1879,Switzerland
260,FC Zürich,Switzerland
265,Panathinaikos FC,Greece
266,SV Ried,Austria
267,IK Start,Norway
269,Holstein Kiel,Germany
272,AIK,Sweden
273,Stade Rennais FC,France
275,FSV Zwickau,Germany
276,Hellas Verona,Italy
279,Ferencvárosi TC,Hungary
281,Manchester City,England
288,Club Estudiantes de La Plata,Argentina
289,Sunderland AFC,England
290,AJ Auxerre,France
291,AD São Caetano,Brazil
293,FSV Frankfurt,Germany
294,SL Benfica,Portugal
299,Wuppertaler SV,Germany
306,SC Heerenveen,Netherlands
309,Paraná Clube,Brazil
311,Pohang Steelers,"Korea, South"
314,HNK Cibalia Vinkovci,Croatia
316,Grazer AK 1902,Austria
317,Twente Enschede FC,Netherlands
318,Ruch Chorzow,Poland
321,FC Sion,Switzerland
322,Yverdon Sport FC,Switzerland
324,Pogon Szczecin,Poland
327,NK Osijek,Croatia
330,Clube Atlético Mineiro,Brazil
331,CA Osasuna,Spain
332,SSC Bari,Italy
333,CA Lanús,Argentina
336,Sporting CP,Portugal
337,Birmingham City,England
338,Dynamo Kyiv,Ukraine
339,Dnipro Dnipropetrovsk,Ukraine
347,FC Metz,France
349,Barnsley FC,England
350,Sheffield United,England
352,Swindon Town,England
353,Lillestrøm SK,Norway
354,KV Mechelen,Belgium
355,Bolton Wanderers,England
358,Charlton Athletic,England
365,Spartak Trnava,Slovakia
366,Real Valladolid CF,Spain
367,Rayo Vallecano,Spain
368,Sevilla FC,Spain
369,Lyngby Boldklub,Denmark
370,Aberdeen FC,Scotland
371,Celtic FC,Scotland
377,FC Banik Ostrava,Czech Republic
379,West Ham United,England
380,US Salernitana 1919,Italy
383,PSV Eindhoven,Netherlands
384,MVV Maastricht,Netherlands
385,Fortuna Sittard,Netherlands
398,SS Lazio,Italy
399,Leeds United,England
403,Willem II Tilburg,Netherlands
404,FC Den Bosch,Netherlands
405,Aston Villa,England
408,Ascoli Calcio,Italy
409,Red Bull Salzburg,Austria
410,Udinese Calcio,Italy
413,LASK,Austria
415,FC Toulouse,France
416,Torino FC,Italy
417,OGC Nice,France
418,Real Madrid,Spain
419,GNK Dinamo Zagreb,Croatia
420,RNK Split,Croatia
422,Wisla Kraków,Poland
428,Górnik Zabrze,Poland
430,ACF Fiorentina,Italy
432,Chicago Fire FC,United States
434,FC Luzern,Switzerland
440,Hallescher FC,Germany
441,Apollon Smyrnis,Greece
443,Vejle Boldklub,Denmark
447,HNK Hajduk Split,Croatia
449,Trabzonspor,Türkiye
450,FK Dukla Prague,Czech Republic
452,BSC Young Boys,Switzerland
456,HNK Vukovar 1991,Croatia
458,Palermo FC,Italy
465,St. Mirren FC,Scotland
466,Preston North End,England
467,NEC Nijmegen,Netherlands
468,Sparta Rotterdam,Netherlands
472,UD Las Palmas,Spain
475,Sint-Truidense VV,Belgium
476,TSV Havelse,Germany
479,Slezsky FC Opava,Czech Republic
485,NK Hrvatski Dragovoljac,Croatia
494,Sporting Club de Toulon,France
496,Malmö FF,Sweden
498,KSC Lokeren,Belgium
499,Vitesse Arnhem,Netherlands
500,Helmond Sport,Netherlands
501,FK Bodø/Glimt,Norway
503,Admira Wacker,Austria
504,Grasshopper Club Zurich,Switzerland
506,Juventus FC,Italy
510,FC Chiasso,Switzerland
511,Dundee FC,Scotland
512,Stoke City,England
518,Sariyer,Türkiye
520,Cercle Brugge,Belgium
524,Gaziantepspor,Türkiye
527,FC Lausanne-Sport,Switzerland
533,TSG 1899 Hoffenheim,Germany
537,Botafogo de Futebol e Regatas,Brazil
540,Slovan Bratislava,Slovakia
541,SC Austria Lustenau,Austria
543,Wolverhampton Wanderers,England
553,Ionikos Nikeas,Greece
566,Beerschot AC,Belgium
583,Paris Saint-Germain,France
585,São Paulo Futebol Clube,Brazil
589,Antalyaspor,Türkiye
593,Kyoto Sanga,Japan
595,SC Bastia,France
596,Gamba Osaka,Japan
599,NK Varazdin,Croatia
600,FK Drnovice,Czech Republic
601,KV Kortrijk,Belgium
603,Cardiff City,Wales
605,Aris Thessaloniki,Greece
606,Polideportivo Ejido,Spain
607,Venezia FC,Italy
609,Cruzeiro Esporte Clube,Brazil
610,Ajax Amsterdam,Netherlands
614,CR Flamengo,Brazil
618,AS Saint-Étienne,France
619,Louhans-Cuiseaux FC,France
621,Athletic Bilbao,Spain
623,New York Red Bulls,United States
625,Neuchâtel Xamax FCS,Switzerland
626,New England Revolution,United States
630,Racing Santander,Spain
631,Chelsea FC,England
634,MTK Budapest,Hungary
641,Middlesbrough FC,England
642,De Graafschap Doetinchem,Netherlands
643,HFC Haarlem,Netherlands
646,Tampa Bay Mutiny,United States
648,CD Tenerife,Spain
649,Szombathelyi Haladás,Hungary
653,OFI Crete FC,Greece
656,Al-Sadd SC,Qatar
660,Shakhtar Donetsk,Ukraine
666,Real Jaén CF,Spain
667,RC Strasbourg Alsace,France
668,Sportfreunde Lotte,Germany
672,JEF United Chiba,Japan
677,Ipswich Town,England
678,Aarhus GF,Denmark
679,Club Athletico Paranaense,Brazil
681,Real Sociedad,Spain
683,Olympiacos Piraeus,Greece
687,Molde FK,Norway
697,FC Slovan Liberec,Czech Republic
698,Bristol City,England
699,Helsingborgs IF,Sweden
701,Trelleborgs FF,Sweden
703,Nottingham Forest,England
704,Calcio Foggia 1920,Italy
708,Újpest FC,Hungary
709,Budapest Honvéd FC,Hungary
714,RCD Espanyol Barcelona,Spain
715,Bohemians Prague 1905,Czech Republic
716,GKS Belchatow,Poland
718,KFC Lommel SK,Belgium
720,FC Porto,Portugal
723,Almere City FC,Netherlands
724,FC Volendam,Netherlands
738,Le Havre AC,France
740,Yozgatspor Tic. AS,Türkiye
747,FC Baden 1897,Switzerland
749,FC Empoli,Italy
750,FC Sochaux-Montbéliard,France
752,SpVgg Bayreuth,Germany
759,Slask Wroclaw,Poland
762,Newcastle United,England
776,Coritiba Foot Ball Club,Brazil
779,FC VSS Kosice,Slovakia
797,FK Banik Most,Czech Republic
798,Excelsior Rotterdam,Netherlands
800,Atalanta BC,Italy
801,IFK Göteborg,Sweden
804,FK Trinec,Czech Republic
813,Columbus Crew,United States
814,FK Teplice,Czech Republic
820,Genclerbirligi Ankara,Türkiye
825,Eskisehirspor,Türkiye
826,RC Lens,France
828,Urawa Red Diamonds,Japan
830,CA Banfield,Argentina
833,Denizlispor,Türkiye
839,AC Perugia Calcio,Italy
845,Diyarbakirspor,Türkiye
850,FC Wil 1900,Switzerland
851,1.FSV Mainz 05 II,Germany
855,EA Guingamp,France
856,SV Mattersburg,Austria
862,Chievo Verona,Italy
865,FC Midtjylland,Denmark
868,MKE Ankaragücü,Türkiye
873,Crystal Palace,England
875,Adelaide United,Australia
892,FK Viktoria Zizkov,Czech Republic
895,AS Cannes,France
897,Deportivo de La Coruña,Spain
899,Walsall FC,England
903,Hibernian FC,Scotland
918,NK Inker,Croatia
924,Istanbulspor,Türkiye
928,Club Atlético Platense,Argentina
931,Fulham FC,England
932,Lokomotiv Moscow,Russia
935,LASK Amateure OÖ,Austria
936,Schwarz-Weiß Bregenz,Austria
937,Júbilo Iwata,Japan
938,FC Thun,Switzerland
939,SR Delémont,Switzerland
940,Celta de Vigo,Spain
941,FC Viktoria Plzen,Czech Republic
943,Yokohama FC,Japan
964,Zenit St. Petersburg,Russia
965,Qatar SC,Qatar
968,KVC Westerlo,Belgium
969,Montpellier HSC,France
970,Perth Glory,Australia
972,Yeovil Town,England
976,CF União Madeira,Portugal
978,Clube de Regatas Vasco da Gama,Brazil
979,Moreirense FC,Portugal
982,CD Nacional,Portugal
983,TSG 1899 Hoffenheim II,Germany
984,West Bromwich Albion,England
985,Manchester United,England
986,Cambridge United,England
987,Motherwell FC,Scotland
988,Oxford United,England
989,AFC Bournemouth,England
990,Coventry City,England
991,Milton Keynes Dons,England
993,Córdoba CF,Spain
995,FC Nantes,France
996,TuS Koblenz,Germany
999,NK Istra 1961,Croatia
1003,Leicester City,England
1005,US Lecce,Italy
1010,Watford FC,England
1011,Halmstads BK,Sweden
1020,Portsmouth FC,England
1022,Cerezo Osaka,Japan
1023,Sociedade Esportiva Palmeiras,Brazil
1025,Bologna FC 1909,Italy
1027,Bradford City,England
1028,Millwall FC,England
1029,CA Vélez Sarsfield,Argentina
1030,AA Argentinos Juniors,Argentina
1031,Luton Town,England
1032,Reading FC,England
1035,Sheffield Wednesday,England
1038,UC Sampdoria,Italy
1039,Queens Park Rangers,England
1041,Olympique Lyon,France
1042,Crewe Alexandra,England
1044,Djurgårdens IF,Sweden
1045,Notts County,England
1047,Como 1907,Italy
1049,Valencia CF,Spain
1050,Villarreal CF,Spain
1053,Aalborg BK,Denmark
1055,Enköpings SK,Sweden
1056,Örebro SK,Sweden
1057,Bryne FK,Norway
1058,Odds BK,Norway
1059,Hammarby IF,Sweden
1060,Colchester United,England
1061,Los Angeles Galaxy,United States
1062,Shimizu S-Pulse,Japan
1063,Viborg FF,Denmark
1065,Hannover 96 II,Germany
1066,Nagoya Grampus,Japan
1070,CA Colón,Argentina
1071,Wigan Athletic,England
1072,Peterborough United,England
1073,KSK Beveren,Belgium
1074,Tranmere Rovers,England
1075,SC Braga,Portugal
1078,Oldham Athletic,England
1079,Liaoning FC,China
1080,Stade Lavallois,France
1081,CS Sedan-Ardennes,France
1082,LOSC Lille,France
1083,FC Rostov,Russia
1084,Málaga CF,Spain
1085,Vitória Setúbal FC,Portugal
1087,UD Salamanca,Spain
1088,Rochdale AFC,England
1090,AZ Alkmaar,Netherlands
1091,PAOK Thessaloniki,Greece
1092,IF Brommapojkarna,Sweden
1095,ESTAC Troyes,France
1096,Royal Antwerp FC,Belgium
1098,Stockport County,England
1100,SK Brann,Norway
1101,IF Elfsborg,Sweden
1103,Ternana Calcio,Italy
1104,ACR Messina,Italy
1105,Ravenna FC,Italy
1106,Club de Gimnasia y Esgrima La Plata,Argentina
1108,Deportivo Alavés,Spain
1109,BK Häcken,Sweden
1110,Huddersfield Town,England
1111,SC Eendracht Aalst,Belgium
1112,Wrexham AFC,Wales
1118,Örgryte IS,Sweden
1119,Akratitos Ano Liosion,Greece
1123,Norwich City,England
1124,Fakel Voronezh,Russia
1132,Burnley FC,England
1134,Associação Atlética Ponte Preta,Brazil
1145,Miami Fusion,United States
1146,Club Necaxa,Mexico
1147,AC Ajaccio,France
1148,Brentford FC,England
1150,Leyton Orient,England
1154,Red Star FC,France
1158,FC Lorient,France
1159,AS Nancy-Lorraine,France
1160,Nîmes Olympique,France
1161,Chamois Niortais FC,France
1162,SM Caen,France
1164,Le Mans FC,France
1165,FC Martigues,France
1170,FC Dieppe,France
1175,LB Châteauroux,France
1176,Racing Ferrol,Spain
1177,Silkeborg IF,Denmark
1181,Blackpool FC,England
1184,KRC Genk,Belgium
1186,Torpedo Moscow,Russia
1191,Falkirk FC,Scotland
1194,Rotherham United,England
1198,Lincoln City,England
1199,Royal Excelsior Virton,Belgium
1201,FC Denderleeuw EH,Belgium
1204,Kartalspor,Türkiye
1210,US Livorno 1915,Italy
1211,Port Vale FC,England
1219,Chesterfield FC,England
1220,Carlisle United,England
1227,RBC Roosendaal,Netherlands
1228,TOP Oss,Netherlands
1230,Al-Arabi SC,Qatar
1234,CA Independiente,Argentina
1236,Östers IF,Sweden
1237,Brighton & Hove Albion,England
1241,Livingston FC,Scotland
1244,CD Leganés,Spain
1245,KAS Eupen,Belgium
1247,Colorado Rapids,United States
1253,Lucchese Calcio,Italy
1264,Malatyaspor,Türkiye
1267,Manisaspor,Türkiye
1268,ADO Den Haag,Netherlands
1269,PEC Zwolle,Netherlands
1270,Dunfermline Athletic FC,Scotland
1274,Stabæk Fotball,Norway
1277,FC Schaffhausen,Switzerland
1283,FC Emmen,Netherlands
1284,SC Veendam,Netherlands
1286,CA Newell\,Argentina
1287,FC Solothurn,Switzerland
1290,Grenoble Foot 38,France
1291,Siirtspor,Türkiye
1292,Etoile Carouge FC,Switzerland
1293,Tromsø IL,Norway
1301,CS Marítimo,Portugal
1302,Northampton Town,England
1304,Heracles Almelo,Netherlands
1305,Odra Wodzislaw Slaski,Poland
1307,FC Pistoiese,Italy
1320,Shenzhen FC,China
1321,SK Dynamo Ceske Budejovice,Czech Republic
1322,FK Jablonec,Czech Republic
1326,Chongqing Liangjiang Athletic,China
1377,Vannes OC,France
1385,Modena FC,Italy
1386,Reggina 1914,Italy
1387,Siena FC,Italy
1388,Ancona Calcio,Italy
1389,AGOVV Apeldoorn,Netherlands
1390,Cagliari Calcio,Italy
1391,Zalaegerszegi TE FC,Hungary
1397,FC Gueugnon,France
1403,Santos Laguna,Mexico
1408,Piacenza Calcio 1919,Italy
1411,RAEC Mons,Belgium
1415,Teramo Calcio 1913,Italy
1416,Amiens SC,France
1417,Beringen Heusden-Zolder SK,Belgium
1418,CA Rosario Central,Argentina
1420,Angers SCO,France
1421,Stade Reims,France
1423,Valenciennes FC,France
1424,Olympique de Valence,France
1426,VVV-Venlo,Netherlands
1429,Cesena FC,Italy
1433,Excelsior Mouscron,Belgium
1434,SC Telstar,Netherlands
1435,Go Ahead Eagles,Netherlands
1436,SC Beira-Mar,Portugal
1443,MSK Zilina,Slovakia
1444,Racing Club,Argentina
1455,FC Dordrecht,Netherlands
1465,GD Estoril Praia,Portugal
1467,Göztepe,Türkiye
1496,FK Pardubice,Czech Republic
1506,Kardemir Karabükspor,Türkiye
1507,Canakkale Dardanel SK,Türkiye
1508,7 Eylül Turgutlu 1984,Türkiye
1511,Akcaabat Sebatspor,Türkiye
1518,Türk Telekomspor,Türkiye
1519,Dundee United FC,Scotland
1531,Elche CF,Spain
1532,Albacete Balompié,Spain
1533,SD Eibar,Spain
1536,Burgos CF,Spain
1557,Würzburger Kickers,Germany
1562,FC Nitra,Slovakia
1564,FC Rouen 1899,France
1622,FC Viktoria Köln,Germany
1627,Catania FC,Italy
1693,Londrina Esporte Clube,Brazil
1701,FC Felgueiras 1932,Portugal
1749,KFC Verbroedering Geel,Belgium
1751,América FC,Brazil
1755,Guarani Futebol Clube,Brazil
1766,Erzurumspor,Türkiye
1771,CSD Tristan Suarez,Argentina
1774,FC Mulhouse,France
1775,CA San Lorenzo de Almagro,Argentina
1777,Stade Briochin,France
1785,Santa Cruz FC,Brazil
1804,Deportivo Toluca,Mexico
1826,Quilmes AC,Argentina
1829,Instituto ACC,Argentina
1881,Terrassa FC,Spain
1894,Hvidovre IF,Denmark
1897,FC Hradec Kralove,Czech Republic
1910,KFC Dessel Sport,Belgium
1978,FC Wohlen,Switzerland
1986,KSZO Ostrowiec Swietokrzyski,Poland
2029,Ceará Sporting Club,Brazil
2035,Avaí FC,Brazil
2036,1.FC Heidenheim 1846,Germany
2047,AC Bellinzona,Switzerland
2057,FC Wangen bei Olten,Switzerland
2058,FC Concordia Basel,Switzerland
2063,CA Huracán,Argentina
2067,US Créteil-Lusitanos,France
2074,SC Kriens,Switzerland
2079,Veria 1960,Greece
2118,Wisla Plock,Poland
2125,Esporte Clube Vitória,Brazil
2154,CA Chacarita Juniors,Argentina
2155,FC Biel-Bienne 1896,Switzerland
2157,FC Blau-Weiss Linz,Austria
2180,RAA La Louviere,Belgium
2227,SC Tavriya Simferopol,Ukraine
2239,US Cremonese,Italy
2241,Kashima Antlers,Japan
2250,AC Prato,Italy
2251,Treviso FBC 1993,Italy
2253,SEF Torres 1903,Italy
2254,Pro Sesto 1913,Italy
2257,Wasquehal Football,France
2262,Plymouth Argyle,England
2282,Club Brugge KV,Belgium
2288,Swansea City,Wales
2292,Elazigspor,Türkiye
2293,Konyaspor,Türkiye
2294,Landskrona BoIS,Sweden
2296,CD Numancia,Spain
2298,Szczakowianka Jaworzno,Poland
2300,Jagiellonia Bialystok,Poland
2311,SK Sigma Olomouc,Czech Republic
2321,KMSK Deinze,Belgium
2323,Orduspor,Türkiye
2324,Gaziosmanpasa,Türkiye
2330,Karsiyaka,Türkiye
2331,US Avellino 1912,Italy
2362,Slaven Belupo Koprivnica,Croatia
2374,Shinnik Yaroslavl,Russia
2375,Altay SK,Türkiye
2381,Sivasspor,Türkiye
2402,Defensa y Justicia,Argentina
2407,CF Monterrey,Mexico
2410,CSKA Moscow,Russia
2411,FC Locarno,Switzerland
2413,Bury FC,England
2414,AC Horsens,Denmark
2417,Club Atlético Belgrano,Argentina
2420,Vitória Guimarães SC,Portugal
2421,SC Freamunde,Portugal
2423,CD Santa Clara,Portugal
2424,Gil Vicente FC,Portugal
2425,Rio Ave FC,Portugal
2428,CF União Lamas,Portugal
2431,CF Estrela Amadora,Portugal
2432,SC União Torreense,Portugal
2434,SC Salgueiros,Portugal
2439,Kuban Krasnodar,Russia
2440,D.C. United,United States
2441,AEK Athens,Greece
2444,FC Wacker Innsbruck,Austria
2446,WSG Tirol,Austria
2448,Sporting Gijón,Spain
2451,Inverness Caledonian Thistle FC,Scotland
2454,Doncaster Rovers,England
2455,Bristol Rovers,England
2457,B SAD,Portugal
2462,Fluminense Football Club,Brazil
2463,Sakaryaspor,Türkiye
2464,FC Barcelona Atlètic,Spain
2477,Karpaty Lviv,Ukraine
2478,KRC Zuid-West-Vlaanderen,Belgium
2497,Real Oviedo,Spain
2502,CD Castellón,Spain
2503,Boavista FC,Portugal
2521,FC Alverca,Portugal
2553,Kilmarnock FC,Scotland
2566,HNK Zadar,Croatia
2577,Hartlepool United,England
2578,St. Johnstone FC,Scotland
2580,Istres Football Club,France
2581,Mantova 1911,Italy
2582,Busan IPark,"Korea, South"
2589,SG Sonnenhof Großaspach,Germany
2598,FK Pribram,Czech Republic
2618,Olympique d\,France
2639,UD Leiria,Portugal
2646,Clube Náutico Capibaribe,Brazil
2655,LR Vicenza,Italy
2662,SKN St. Pölten,Austria
2671,PAS Giannina,Greece
2672,APO Levadiakos,Greece
2687,Cádiz CF,Spain
2696,Krylya Sovetov Samara,Russia
2697,Sanfrecce Hiroshima,Japan
2698,Rubin Kazan,Russia
2700,Anzhi Makhachkala,Russia
2703,Spartak Vladikavkaz,Russia
2715,RFC Seraing,Belgium
2719,Mjällby AIF,Sweden
2721,Forza e Coraggio Alessandria,Italy
2722,SPAL,Italy
2727,Oud-Heverlee Leuven,Belgium
2737,Leon Saturn Ramenskoe,Russia
2740,Vorskla Poltava,Ukraine
2741,Baltika Kaliningrad,Russia
2742,Obolon Kyiv,Ukraine
2745,Polonia Warsaw,Poland
2750,Buca Gelistirme Spor,Türkiye
2759,Ross County FC,Scotland
2760,Partick Thistle FC,Scotland
2761,FK Haugesund,Norway
2775,Dyskobolia Grodzisk Wielkopolski,Poland
2776,NK Kamen Ingrad Velika,Croatia
2778,FC Nordsjaelland,Denmark
2779,MSK Puchov,Slovakia
2781,FC Petrzalka,Slovakia
2783,Metalurg Donetsk,Ukraine
2790,FC Lugano,Switzerland
2793,Southend United,England
2805,Wycombe Wanderers,England
2814,Gillingham FC,England
2817,Strømsgodset IF,Norway
2832,Gaziantep FK,Türkiye
2843,GIF Sundsvall,Sweden
2844,IFK Norrköping,Sweden
2861,KV Oostende,Belgium
2863,América Futebol Clube,Brazil
2865,Betis Deportivo Balompié,Spain
2867,Recreativo Huelva,Spain
2919,AC Monza,Italy
2921,Delfino Pescara 1936,Italy
2923,CD Badajoz,Spain
2944,Sincan Belediyesi Ankaraspor,Türkiye
2952,FC Sopron,Hungary
2963,Burton Albion,England
2964,Scunthorpe United,England
2967,Racing Besançon,France
2968,FC Libourne,France
2969,Dijon FCO,France
2972,Football Bourg-en-Bresse Péronnas 01,France
2973,RWD Molenbeek,Belgium
2974,Francs Borains,Belgium
2977,KSV Roeselare,Belgium
2978,US Lusitanos Saint-Maur,France
